Power Plant,Incident,Predicted Labels
South Texas,"Although the final analysis report is not yet available, it is likely that the small leak was located in the portion of the coil that is melted/missing. If so the root cause of the leak will not be determined. After the final failure analysis reports from ElectroMechanical Engineering (EME) and Kinectrics are received, the root cause report will be revised and the corrective action plan addressing the technical aspects of this event will be changed if warranted based upon the findings. The LER will be supplemented if the evaluation results affect the substance of this report.","['problem identification and resolution', 'work processes']"
South Texas,The MODE requirement prerequisites in the Preventive Maintenance Instruction were revised without full consideration of the Operational restrictions associated with changing plant conditions during procedure performance.,"['decision making', 'leadership safety values and actions', 'work processes']"
South Texas,"The cause of this event has been determined to be high resistance circuit on the RHMS from the C (common) contact in switch position 7 on deck F due to contamination. Even though offsite failure analysis did not reproduce the high resistive contact nor did it find evidence of contamination that could have caused this condition, enough evidence exists from other failure analysis and industry experience to conclude that contamination is the cause.
The cause of this contamination could be due to:
• The low current that flows through these contacts is not enough to burn through
corrosion/carbon deposits that builds up on the contacts over time.
• Solder flux on contact surfaces.
• Grease or other contaminants.","['problem identification and resolution', 'questioning attitude']"
South Texas,"The most likely cause of the MT2A failure that resulted in the transformer lockout trip of the Unit 2 reactor is that either an internal ground fault or an internal turn-to-turn fault occurred inside of the ""C"" phase high voltage windings. The most likely cause of the fault is that the paper insulation inside of the transformer degraded faster than expected due to cumulative damage over time from a combination of pass-through faults, elevated temperatures, elevated moisture, and grid disturbances. Another potential cause that remains as ""likely"" on the Fault Tree is the failure of bad connections internal to the windings, but this is considered less likely due to the age of the transformer and because analysis of gases in oil samples did not indicate that a loose connection had existed for any long period of time. A more definitive cause may be determined after failure evaluation forensics are performed on the damaged transformer windings.","['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,The cause of the event was failure of the ECW Pump 2B motor lower bearing due to an insufficient motor endplay allowance value used for motor refurbishment.,"['problem identification and resolution', 'work processes']"
South Texas,"The cause of the event was unspecific guidance in the off normal procedure for secondary plant stabilization.
The urgency in this event was not from a design basis accident but from a need to protect major plant equipment. The failure of the bearing oil lift piping placed the Control Room Staff in a situation that required prompt action to prevent equipment damage, and the Staff made a decision to use the MSI Actuation switch as a result of the unspecific written guidance to ensure MSIVs and Main Steam Isolation Bypass valves (MSIBs) are closed.","['decision making', 'leadership safety values and actions', 'work processes']"
South Texas,The cause of the event is erosion of the aluminum-bronze nipple and tee assembly that led to a through-wall ECW leak.,"['problem identification and resolution', 'work processes']"
South Texas,"On March 4, 2015, AFW pump 24 was not recognized as inoperable due to human error. The two Control Room operators involved used ineffective verification practices of surveillance acceptance criteria. There were no other extenuating circumstances (e.g., time or situational pressures) surrounding the failure to recognize that the acceptance criteria was not met.","['continuous learning', 'personal accountability', 'questioning attitude']"
South Texas,"The cause of this event is that the operating crew did not have adequate technical knowledge of extended range monitor response following a fast reactor shutdown. A contributing cause is that when faced with the situation with extended range monitor NI-0045 reading 10 cps and extended range monitor NI-0046 reading 90,000 cps, the Control Room did not initially seek input from Engineering regarding proper monitor response. Instead, the decision was made to declare NI-0045 inoperable based on the belief that 10 cps was an abnormal reading when compared to the source range monitor counts.
The most likely cause for the sluggish response of extended range monitor NI-0046 was the development of moisture within the cabling inside the Reactor Containment Building (RCB) between the detector and the RCB inboard penetration due to a leak in its environmental enclosure.","['continuous learning', 'effective safety communication', 'problem identification and resolution', 'questioning attitude']"
South Texas,"The root cause of the event was personnel error related. Individuals involved in the technical review and approval of the ECO failed to recognize at-risk behaviors and apply appropriate Human Performance (HU) tools. At-risk behaviors not considered include:
Making assumptions - The Issuing Authority stopped when the individual saw ""Swap Tag"" in a note field on a line item of the ECO revision and did not perform a detailed review of the remaining ECO line items. As a result, the Issuing Authority made a wrong assumption that an inside containment isolation valve would remain closed.
Believing the source of information is absolutely reliable - The Technical Reviewer (new to this assignment) assumed that ECOs would be technically sound and that the technical review would be more of a higher-level review.
Thinking the task is routine or simple - Both the Technical Reviewer and Approver of the ECO stated they viewed the ECO as routine or simple.
Appropriate error reduction tools not used by both individuals include Questioning Attitude and Peer Review/Collaboration.","['personal accountability', 'problem identification and resolution', 'questioning attitude']"
South Texas,"The two apparent causes identified for this event were determined to be:
1. Program implementation deficiencies in Work Planning organization and in support by cross-functional organizations for high risk components.
2. Inadequate verification and validation of ESF Sequencer module replacement parts by Maintenance and Work Planning personnel.
","['leadership safety values and actions', 'problem identification and resolution']"
South Texas,"The causes for this event were determined to be:
1. Vendor Technical Document work instructions do not work as written when leaving the actuator installed during actuator disassembly.
2. Post-Maintenance Testing did not include guidance to ensure valve plug was fully seated.
3. The valve remote position indicator verification test procedure assumes the local valve position indication reflects the actual (internal) valve position.
","['problem identification and resolution', 'work processes']"
South Texas,The most-likely cause of the event was due to a sticking hand switch or due to a high resistance contact in the switch. The failed switch was not retained for more detailed failure analysis.,"['problem identification and resolution', 'questioning attitude']"
South Texas,The cause of the event was due to arch flash across a TDSP owned insulator which resulted in a phase- to-ground fault and subsequent bus lock out. There were no previous indications of issues with the insulator.,"['problem identification and resolution', 'work processes']"
Diablo Canyon,"
A. Immediate Cause
The condition was caused by breakage of the lamp sockets.
B. Root Cause
The root cause was determined to be lamp socket design. An easily achievable torque in the socket assembly retaining nut generates a stress in the plastic socket material exceeding its yield value. Plasticity occurs along with creep (time dependent deformation) at the socket operating temperature.
The creep eventually leads to cracking at the top edge of the socket's","['problem identification and resolution', 'work processes']"
Diablo Canyon,"A. Immediate Cause
0 0 6 OF 7
The immediate cause of the TS violation was the inadequate PMT specified after replacing the isolators. The replacement of the isolator had the potential to affect the response time of the NI channels, and therefore invalidated the previous surveillance. Since the invalidated surveillance was not recognized at the time, the associated TS was not met.
B. Root Cause
The root cause of the inadequate PMT was personnel error. The work planner specified the PMT based on prior experience. At the time, Eagle- 21 was relatively new, the procedural guidance was weak, and the planner did not seek input from engineering.
The cause of the late LER was also personnel error. Based on the failure modes and effects analysis and the fact that the isolator has a very minor contribution to the overall response time of the channel, Regulatory Services incorrectly concluded the condition was not reportable.","['personal accountability', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"A. Immediate Cause
0 0 4 OF 5
The heavy smoke from the failed MG Set 1-2 exited the auxiliary building and due to prevailing wind conditions, a portion was drawn into the CRVS intake.
B. Root Cause
The cause of the smoke infiltration into the CRVS intake from the auxiliary building was due to heavy smoke associated with a bearing failure of MG Set 1-2. Operator action was taken to place the CRVS in Mode 4 to prevent further build up of smoke in the control room.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"B. Root Cause
The root cause could not be conclusively determined due to the lack of detailed documentation and the amount of time that had passed since the original design and construction. The following are presumptive causes:
1. Personnel errors on the part of the original wall designers for failing to consider the likelihood that quality-related equipment would be supported by these walls.
2. Personnel errors on the part of the engineers who performed the wall calculation for the Hosgri seismic event for failing to incorporate the as-built configuration of the walls into the calculations.
C. Contributory Cause
Contributory causes included:
1. The engineering department was compartmentalized during original construction. The engineers responsible for designing the walls were in a different group than the engineers responsible for evaluating additional loads on the walls, which impacted communication and interaction between the groups.
2. The engineering department was located offsite where they relied on complex drawings, with limited opportunity to perform walkdowns of , the walls and equipment.
3. The design classification of the walls was not clearly defined in engineering documents, resulting in assumptions that the walls were equivalent in construction to load bearing walls. The walls were not reviewed under the design verification program during plant licensing.
4. Engineers only evaluated local effects on the walls when equipment was being added and assumed the reinforced concrete walls were inherently strong enough to resist the loads of additional equipment.
A. Immediate Cause
The immediate cause of the non load bearing walls exceeding design requirements was an inadequate design.","['personal accountability', 'problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"Immediate Cause
0 1 8 OF 12
The cause of the bus failure could not be conclusively determined due to the absence of physical evidence. The bus connection that failed was vaporized or melted. Several feet of conductor had burned or melted away. In order to perform an investigation, the fault location was quarantined. Detailed evidence was gathered prior to cleanup. Potential causes that were considered and eliminated include: maintenance activities, testing, sabotage, foreign material or animal, and insulation cracking.
The immediate cause is postulated to be a thermal failure of the bolted connection of the center conductor of the 12 kV bus supplied by Auxiliary Transformer 1-1. The PVC boot failed due to the excessive heat and created smoke. The radiant heat from the center conductor caused the insulation to fail on adjacent conductors. The smoke provided an ionized environment for a phase-to-phase arc from the center conductor to the south conductor. Subsequently, there was arcing between all conductors.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"Immediate Cause
TS 3.0.3 was entered because power was restored to the isolation valves for all 4 accumulators while RCS pressure was above 1000 psig.
B. Root Cause
The shift foreman did not review the TS prior to directing the operators to close the accumulator isolation valve breakers. He believed that TS 3.5.1a required only that the valves be open and did not recognize thatthe accumulators would be considered inoperable with the breakers closed.
C. Contributory Cause
Neither OP L-5, step 6.2.17, nor the lamicoid located at the accumulator isolation valve breakers make reference to TS 3.5.1a.","['continuous learning', 'effective safety communication', 'personal accountability', 'work processes']"
Diablo Canyon,"A. Immediate Cause
The immediate cause of this event was determined to be an inadequate procedure. Although OP L-1 provided for the documenting of RCS parameters in accordance with the TS surveillance requirements, thedocumentation was done automatically using the PPC, and the procedure did not require periodic review of this data by the operator.
B. Root Cause
The root cause of this event was determined to be a human error on the part of the procedure sponsor who revised OP L-1 on February 19, 1999. The procedure was revised to incorporate an enhancement to make use of computerized logging of RCS temperature, pressure, and heatup rate. While understanding that the purpose of the logging was to meet the requirements of the surveillance, the sponsor overlooked the fact that manual logging of the data was credited as a review of that data, whereas automatic data collection requires review before the intent of the surveillance requirement can be met.","['continuous learning', 'problem identification and resolution']"
Diablo Canyon,"Immediate Cause
The immediate cause was plant alignment to an operating EDG per STP M-21-A.1 in parallel with Bus F creating a condition such that when the FLUR was tripped per STP M-75, the resultant relay actuations initiated a start of CCW Pump 1-1 as designed.
B. Root Cause
Personnel error (cognitive) by a utility licensed operator who determined that the two tests could be performed simultaneously. Additional PG&E personnel responsible for scheduling and performing the test failed to identify the interaction of the two tests being performed concurrently.Inadequate procedure: STP M-75 did not include adequate precautions to prevent this event.","['decision making', 'personal accountability', 'work processes']"
Diablo Canyon,"Immediate Cause
Investigations showed butterfly valves CCW-1-15 and CCW-1-17 would not close properly due to misadjusted travel stops. When the valves were initially closed for the test, the discs were over rotated past the seats by approximately 2 degrees before the travel stops engaged.
B. Root Cause
The apparent root cause of the misadjusted travel stops for these valves is personnel error. Based on a lack of evidence of related maintenance, the travel stops were apparently left misadjusted during initial installation, prior to plant startup.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"The number of defective tubes in SG 1-2 identified during 1R10 exceeded 1 percent of the total tubes inspected, placing the SG in Category C-3 per TS 5.5.9, Table 5.5.9-2.
B. Cause
The majority of the tube defects are attributed to primary water stress corrosion cracking (PWSCC) and outside diameter stress corrosion cracking (ODSCC) at hot leg TSP intersections.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"
A. Immediate Cause
Operators received an urgent alarm in the Unit 1 control room.
B. Root Cause
The root cause of the rod control failure was failure of the portion of the Supervisory Buffer Memory Card (A112) that controls inward rod motion.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"Immediate Cause
YEAR
REVISION NUMBER
The control rod drive mechanism [AA][DRIV] allowed the control rods to drop into the core.
The three auxiliary feedwater pumps [BA][P] started.
The immediate cause of this event was an intermittent electrical short in a toggle selector switch on the DVM connected to NI-44, which caused a reactor trip to occur when the test engineer manipulated the switch.
B. Root Cause
The root cause of this event was the decision made to proceed with testing on the redundant Nis prior to restoring the NI-41 channel to service.","['decision making', 'work processes']"
Diablo Canyon,"Immediate Cause
The 230-kV power system protective relays deenergized the incoming 230-kV transmission lines upon sensing the phase-to-phase line fault.
B. Root Cause
The cause of the event was poor communications between PG&E and CDF and inadequate planning and administrative controls over CDF activities during the cutting and burning operations. The CDF fire crews made decisions and performed activities that were contrary to PG&E's expectations.","['effective safety communication', 'leadership safety values and actions', 'questioning attitude']"
Diablo Canyon,"The primary cause of this event was condensation (moisture) build-up inside the SUT 1-1 fuse box. PG&E believes that the excess moisture was caused by the relatively warm air in the bus ducting drawing cold atmospheric air up through a louver/filter assembly in the bottom west side of the fuse box.
When the surface salt accumulation on the east phase vertical bus bar had reached a critical level, an arc flashed along the top of the insulator between the insulator clip assembly lower bolt and the backing plate of the enclosure. The ionization and increasing heat of the air in the enclosed fuse box degraded the air's insulating properties which allowed the arc tobecome self-sustaining, resulting in a rapid pressurization of the fuse box
that caused the fuse box doors to blow open and damage the SUT 1-1 B.� fuse box.","['problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"Immediate Cause
0 2 7
YEAR
5 2001
-
REVISION NUMBER
0 10
Valve MU-1-297 was closed; thereby, isolating the non-redundant flow path from the FWST to the AFW Pumps suction.
B. Root Cause
PG&E believes the cause of the flow path being isolated in violation of
TS 3.7.6 is personnel error, ""knowledge exceeded,"" due to licensing-basis documentation not readily available to the plant staff.
C. Contributory Cause
PG&E's licensing history spanned many years resulting in 34 separate SSERs. As a result the SSER 8 requirement to maintain redundant flow paths between the FWST and the AFW Pumps suction had not been
IV.� clearly identified as a licensing requirement.","['personal accountability', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"
A. Immediate Cause
0 0
4
NUMBER 0 1
The LCO for TS 3.3.3 was not satisfied with LI-528 inoperable for greater than 30 days, due to a lack of mounting screws.
B. Root Cause
The root cause of this event has been attributed to the poor work practices in place in the 1980's, when the VX-252 meters were removed and reinstalled to disable a ""zero adjust"" feature. The meters were again removed and reinstalled to be tested and calibrated to support plant start-up activities. PG&E believes that the case to frame mounting screws were left out during this period of maintenance.","['personal accountability', 'work processes']"
Diablo Canyon,"Immediate Cause
IV.
The immediate cause of the nonconservative SG level instrumentation was the identification of a previously unaccounted PMA term for the dP across the SG mid-deck-plate.
B. Root Cause
The cause of this event was that Westinghouse failed to identify to PG&E the mid-deck plate differential pressure effect on reactor trip and ESFAS setpoints.","['continuous learning', 'problem identification and resolution']"
Diablo Canyon,"The number of defective tubes in SG 1-2 identified during 1R1 exceeded one percent of the total tubes inspected, placing the SG in Category C-3, per TS 5.5.9.
B. Root Cause
The majority of the tube defects are attributed to outside diameter stress corrosion cracking (ODSCC) and PWSCC at hot leg TSP intersections.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"Root Cause
YEAR
REVISION NUMBER
designated utility employee to be in charge of the heavy load move.
The primary cause of the event was the failure of utility and contract turbine maintenance personnel to comply with procedures for movement of loads within a heavy loads restricted area.Utility and contract maintenance personnel did not read all relevant information on the laydown drawing, which stated that heavy loads were not part of the laydown evaluation,
(2) Inadequate oversight of vendor activities, when considering the experience of contract personnel and the classification of the work, which included the heavy loads restricted area, and
(3) Inadequate evaluation of changes for the outage.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"The immediate cause of the trip was the loss of input signal air to FCV-510 because of a fractured inlet port on the positioner manifold (PO-510). The fractured inlet port resulted from an overload failure due to a bending force.
Tubing fittings, length, orientation, and position indicate that contact with structural support steel occurred. The test connection broke due to a bending (moment) force as the feedwater pipe expanded. The break was a typical aluminum overload failure at the thread root with no corrosion, manufacturing or over-torqued fitting defects found.
B. Root Cause
The root cause of the event was a deficiency in the design-change and work-control processes to consider configuration control of trip-sensitive instruments that are mounted on plant piping that is subject to thermal expansion during power ascension.","['problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"Immediate Cause
Two of three PSVs did not lift within the TS 3.4.10 tolerance.
B. Root Cause
The cause of the lift setting change has been determined to be random lift setting spread.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"
A. Immediate Cause
The preparer of the core offload sequence plan failed to recognize the relationship between fuel assemblies DD14 and J55.
B. Root Cause
The root cause of the event was personnel error by utility engineers that prepared, reviewed, and approved the core offload sequence. The cause of this error was skill and/or rule based, in that the preparer, reviewer, and approver had done this preparation multiple times but never with the spent fuel pool density as high as it was at that time.","['problem identification and resolution', 'questioning attitude']"
Diablo Canyon,"The root cause of this event was personnel error. Ineffective communication between the WCSFM, the SFM, and the control operator resulted in the SFM not recognizing the necessity to perform the conditional surveillance and the control operator believing DG 1-3 was operable. In addition, changes to the work control process, which became effective on September 1, 2003, shifted the responsibility of approving work from the SFM to outside the control room with the WCSFM. This change placed additional burden on both the WCSFM and the SFM to assure thorough and timely communication regarding changes in plant status and the need to implement required compensatory measures/surveillances.
B. Contributory Cause
Due to the nature of the work being performed on DG 1-3, it was declared inoperable administratively, but was not removed from service. Thus, it remained available for all automatic and manual starts. Had the DO been removed from service, additional cues to perform the conditional surveillance would have been evident.","['effective safety communication', 'personal accountability', 'work processes']"
Diablo Canyon,"A. The number of defective tubes in SG 1-1 and SG 1-4 identified during 1R12 exceeded one percent of the total tubes inspected, placing the SGs in Category C-3, per TS 5.5.9.
B. Root Cause
The majority of the tube defects are attributed to axial outside diameter stress corrosion cracking (ODSCC) at hot leg TSP intersections (SG 1-1) and circumferential PWSCC in the U-bend region (SG 1-4).","['problem identification and resolution', 'work processes']"
Diablo Canyon,"High cycle fatigue failure at the nozzle connection of the CCW supply piping to the RCP 1-3 upper bearing lube oil cooler channel head.
B. Root Cause
Component replacement of the RCP upper bearing lube oil cooler channel head with a reinforced (stiffer) connection resulted in the piping system being closer to the resonant frequency (20 Hz) resulting in fatigue failure.
C. Contributory Cause
1. Previous nonconformance report (NCR) corrective action was not maintained, i.e., action(s) for a fatigue tolerant weld profile was not maintained for the new heads. The weld quality was a contributor in increasing stress levels (locally).
YEAR
REVISION NUMBER
2. Previous NCR corrective action was not adequately maintained, i.e., action(s) to maintain a margin between the RCP forcing frequency and the resonant frequency of the piping system was not maintained.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"The number of defective tubes in SG 1-1 and SG 1-2 identified during 1R13 exceeded one percent of the total tubes inspected, placing the SGs in Category C-3, per TS 5.5.9.
Root Cause
The majority of the tube defects are attributed to axial outside diameter stress corrosion cracking (ODSCC) at the hot leg tube support plate, and circumferential ODSCC at hot leg tube support plate and at the hot leg top of tubesheet. In addition, axial ODSCC at the hot leg top of tubesheet was identified at Diablo Canyon Power Plant (DCPP) for the first time.","['problem identification and resolution', 'work processes']"
Diablo Canyon,"The number of dead birds found is unusual. Thus, an investigation was initiated to determine the cause in accordance with the requirements of the EPP. The remains of four cormorants were transferred to the CDF&Gfor transport to the CAHFS Laboratory at the UCD, for testing and analysis. Also regional water samples from the Central Coast during the week were reviewed for algae and toxin production associated with an algae bloom, or red tide. Ongoing monitoring of the bar racks found no
B.A further incidents of excessive accumulation of dead birds.","['problem identification and resolution', 'questioning attitude']"
Diablo Canyon,"The loss of 230kV power was initiated when a dead-end NCI on the Morro Bay-Diablo line tower 0/3 failed. This caused a B-C phase short circuit. The protection relays for Breaker 532 in the Morro Bay switchyard and Breaker 2332 in the Mesa switchyard provided instantaneous trip signals to their breakers and the breakers opened. The onsite 230kV switchyard de-energized and startup power to DCPP was lost.
B. Root Cause
The root cause for the 230kV loss has been determined to be an unanticipated voltage transient in a CCVT output signal supplying the protection relay for Breaker 2332. The CCVT output did not reflect actual line voltage during recovery from the fault induced voltage transient. The protection relay in the Mesa switchyard sensed a Zone 1 (DCPP-Mesa line) fault due to the low voltage from its CCVT and sent a trip signal to Breaker 2332. The instantaneous trip signal was transmitted in approximately 2 milliseconds.","['problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"The immediate evaluation of the event, based on instrumentation response, indicated a misstep of Control Rod N-13.
B. Apparent Root Cause
Based on the sequence of events and evaluation discussed above, the malfunction of Control Rod N-13 was caused by misstepping due to the build-up of crud on the control rod or in the mechanism. This was supported by the following observations:
• The DRPI system was verified to be performing as required, in accordance with applicable maintenance and surveillance test procedures.
• The rod control system was verified to be performing as required, in accordance with applicable maintenance procedures.
• Westinghouse analysis of the first event and relevant data supplied by Pacific Gas and Electric Company concluded that the event was characteristic of misstepping due to the presence of crud.
• Subsequent troubleshooting, and the resulting rod operation during exercising, supported the Westinghouse experience regarding misstepping events, consistent with the Technical Bulletin and the cause and corrective actions.","['continuous learning', 'problem identification and resolution', 'questioning attitude']"
Diablo Canyon,"Immediate Cause
The duration of a 4kV undervoltage transient resulting from the start of a 13,000 horsepower CWP pump motor, while both the associated 12kV bus and the 4kV Vital Bus G were aligned to the Startup offsite power source, exceeded the setpoint of the second level undervoltage DG start time delay relay, starting DG 1-2.
B. Root Cause
Plant procedures did not clearly identify precautions necessary for the subject plant configuration to minimize voltage transient conditions that could result in an inadvertent DG start.
C. Contributing Causes
Prior engineering recommendations were not captured in plant","['decision making', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"energized, the air supply is ported to the AOV actuator and the exhaust port is closed, which opens the AOV. The solenoid valve has a plunger (pilot seat cartridge and disc holder) that is actuated by the solenoid that directs the air to the appropriate port. The 3-way pilot operated SV requires that a minimum operating pressure differential (MOPD) be maintained between the pressure and exhaust ports to maintain proper position. During the 2R14 ILRT, the SV was de-energized so the exhaust port was aligned to the AOV actuator and the supply port of the SV was closed. In this configuration, the ILRT pressure would have been supplied to the pressure side of the AOV actuator through the SV exhaust port. It is believed that the ILRT pressure contributed to the movement of the plunger to an intermediate position.
SV-527 is a 3-way pilot operated SV. When the SV coil is de-energized, the air operated valve (AOV) is ported to exhaust and the air supply port is closed, which closes (or maintains closed) the AOV. When the SV coil is","['problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"The gaps between the washer plates and column adapters were caused by interfering excess weld metal on the interior recesses of the column adapters and inadequate verification of the washer installation.
Root Cause
Limitations associated with the use of a fit-up template to identify excess weld material resulted in insufficient excess weld material removal.
The field installation instructions over-relied upon the preinstallation template fit-up, resulting in inadequate verification requirements.
A human performance error by RSG contract personnel resulted in one washer plate being installed upside down.","['personal accountability', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"Immediate Cause
The Eagle 21 LCP failure caused the SG level control output to lockup at the fail-as-is setpoint of approximately 65 percent in accordance with the design intent.The inoperability of the motor-driven AFW valves LCV-110 and LCV-113 automatic level control function is a known condition resulting from the failed automatic level control input that requires licensed plant operator intervention in accordance with approved plant procedures.
B.� Cause
The Eagle 21 LCP failure is designed to result in the lockup of the AFW level control ouput signal, therefore, the system performed as designed and operator actions were taken in accordance with approved plant procedures. The cause of the Eagle 21 LCP single failure was entered into the plant problem resolution system for further investigation and resolution.
The motor-driven AFW LCVs are designed to have manual operator control override capability by manual intervention at the manual/auto controller provided to the licensed plant operators in the control room.
Therefore, the Eagle 21 and motor-driven AFW control systems responded in accordance with their design intent.","['problem identification and resolution', 'work processes']"
Diablo Canyon,The cause of the failures was determined to be wind-driven water intrusion through barriers (o-rings) due to manufacturer workmanship flaws.,"['problem identification and resolution', 'work processes']"
Diablo Canyon,"
The immediate cause of the unanalyzed condition was that PG&E had not considered these postulated worst case degraded voltage conditions credible, given administrative controls, and automatic LTCs. Therefore PG&E had not analyzed or designed for it. As a result, TS SR 3.3.5.3 values are nonconservative.","['problem identification and resolution', 'questioning attitude', 'work processes']"
Diablo Canyon,"
Operating procedures explicitly allowed for the acceptability of the cross-tie configuration to satisfy the LCO requirements of TS 3.8.1.The cause of operating in a condition prohibited by TS 3.8.1 is a non-conservative
assumption leading to misinterpretation of 230 kV offsite power system licensing basis IV.� requirements in 1995, which produced incorrect operating procedures.","['decision making', 'work processes']"
Diablo Canyon,"
The apparent cause of this event was that the replacement TD AFW PP 1-1 speed governor was configured in accordance with the original speed governor build/testing specification. There was no documentation of internal adjustments made to the original speed governor; however, it was determined that the original speed governor had been adjusted in the past. As such, the refurbishment/replacement governor was improperly set to be a like-for-like replacement, resulting in a higher than acceptable startup speed. This condition resulted in the TD AFW PP 1-1 being inoperable during mode transition.","['continuous learning', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"The Unit 2 ABVS failure occurred due to ABVS Damper M-4A failing to fully open upon a control system demand signal concurrent with the existence of a previously unrecognized single failure design vulnerability.
B. Cause
1.The apparent cause of the loss of both trains of ABVS was a nonconforming condition in the plant ABVS design. This portion of the ABVS system did not meet the single failure criteria.
2. DCPP's licensing basis allowing ABVS manual actions, when automatic action was not available, was not clear.
3. The apparent cause for the failure to identify and correct the single failure vulnerability when preparing the design of the replacement ABVS control system was that the DCPP design change process was limited to the modification and did not search for legacy issues while performing failure modes and effects analyses.
4. The apparent cause of the Unit 2 ABVS Damper M-4A leakage past the damper actuator piston seal is presumed to be use of the seal beyond its defined service life, contrary to requirements of the DCPP preventative maintenance program for this seal. PG&E left the seal in service beyond its defined service life due to a 2007 personnel error which incorrectly closed the maintenance order to replace the seal.","['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"Plant personnel failed to perform an adequate risk assessment during the planning stage of the modification. While evaluating the work to be performed on the panel, personnel considered electric and magnetic fields induced from welding to be performed, but overlooked the possible effects of mechanical agitation to the Unit 1 relays that inadvertently actuated during the cutting process.","['decision making', 'personal accountability', 'work processes']"
Diablo Canyon,"The cause of the events was human error enabled by inconsistent reinforcement of human performance tools on the part of Electrical Maintenance leadership.
Plant personnel involved with testing on May 26, 2011, retained an inadequate mental model of the electrical circuitry being tested. A contributing cause for this event was an inadequate procedure which lacked precise written work instructions, and did not call for the use of human performance tools and verification practices.
On May 27, 2011, electrical maintenance personnel conducted a dry run of the Unit 2 test. They connected test equipment to terminals on the Unit 1 terminal block as that was easier to access and was similar to the Unit 2 terminal block. When proceeding to conduct the actual test on Unit 2, the individual inadvertantly attached test equipment to the Unit 1 terminal block, as practiced. Lack of proceduralized use of human performace tools such as place keeping, concurrent verification practices, and operational flagging contributed to this error.","['continuous learning', 'personal accountability', 'work processes']"
Diablo Canyon,"A. Immediate Cause
Control room boundary integrity was lost due to maintenance personnel removing a blank flange on the inlet duct to the Unit 2 CRVS Dampers MOD-2 and MOD-2A with the dampers still inoperable and in mid-position.
B. Cause
The cause was human error by the work control shift foreman when he prematurely authorized removal of the blank flange prior to all work being complete. Insufficient controls existed to assure that the CRE integrity was maintained during maintenance.","['personal accountability', 'work processes']"
Diablo Canyon,"PG&E performed an Apparent Cause Evaluation to determine the apparent cause for concluding that the 2005 test demonstrated no unfiltered in-leakage. The evaluation determined that human error (a mental mindset) in the interpretation o f test results led to a nonconservative determination o f zero leakage.
The cause of incorrectly declaring the CRVS operable was that the bases for SR 3.7.10.5 were unclear, and PG&E clarified via co,nsulting industry experts versus requesting that NRC clarify the intent of the SR Bases.","['continuous learning', 'decision making', 'problem identification and resolution']"
Diablo Canyon,"PG&E first identified and documented this design vulnerability in 1991 in a nonconformance report. Human error on the part of a Technical Review Group (root cause evaluation team) in 1991 to eliminate the design vulnerabilitywas the apparent cause of this issue in that the team focused on managing the consequences of the design vulnerability rather than eliminating it (see Section VI.B, ''Previous Similar Events,"" of this licensee event report).
The cause of incorrectly declaring the CRVS operable was that the bases for SR 3.7.10.5 were unclear and subject to multiple interpretations that PG&E clarified via consulting industry experts versus requesting that NRC clarify the intent.","['continuous learning', 'decision making', 'problem identification and resolution']"
Diablo Canyon,Rosemount conducted a thorough investigation regarding the out-of-tolerance condition and determined that it was a result of the magnitude of a resistance change made to the transmitter temperature compensation circuitry during a final factory acceptance test.,"['continuous learning', 'problem identification and resolution']"
Diablo Canyon,"Apparent Cause
Electrical Maintenance (EM) supervisors have not consistently reinforced self-checking standards.B. Contributing Cause
NUMBE�R 2012 - 003
(1) EM allowed use of a troubleshooting plan which did not meet work instruction quality standards as described in DCPP Procedure, AD7.DC8, ""Work Planning,"" in that specific component identifiers and sign-offs for each step were not provided.
(2) EM allowed use of a troubleshooting plan without establishing robust barriers on adjacent equipment to prevent mis-operation.","['effective safety communication', 'leadership safety values and actions', 'personal accountability']"
Diablo Canyon,The FCV-15 valve stem was not installed properly due to insufficiently detailed instructions for the governor valve.,"['personal accountability', 'problem identification and resolution', 'work processes']"
