Power Plant,Sentence/Paragraph,Predicted Labels,True Labels
Diablo Canyon,"A. Immediate Cause Failure of electrolytic capacitors on the gate filter module and/or firing module
caused the BTCs to fail to supply adequate charging current.
B. Root Cause Failed electrolytic capacitors were identified in BTC 131, 12, 121 and 22. Two of these failures were attributed to electrolytic capacitor use beyond their service life due to replacement of printed circuit boards with aged electrolytic capacitors that were not subject to appropriate component verification prior to installation. Two failures were due to premature capacitor aging and early end-of-life failure. A BTC circuit design deficiency was identified that exposed the electrolytic capacitors to reverse voltage beyond their intended operating
conditions that reduced the service life of the capacitors.                                                                                                                                                          C. Contributory Causes
1. Ineffective barrier in that procedure 0M7.1D1, Problem Identification and Resolution,* did not provide adequate criteria for problem report review of demand failure recognition, past operability status, and impact on reportability.
2. Ineffective barrier in that procedure 0M7.1D12, *Operability Determination,"" did not provide specific guidance on actions required when a potential common mode failure is identified.
3. Ineffective barrier in that procedure OP1.101, *Readiness for Restart Program,* did not require corrective actions identified in accordance with 10 CFR 50.65(a)(1) to be listed as 'readiness for restart* items to ensure management awareness of equipment issues prior to a unit restart.","['problem identification and resolution', 'work processes']","['leadership safety values and actions', 'personal accountability', 'problem identification and resolution', 'work processes']"
Diablo Canyon,"A. Immediate Cause
Two of three PSVs did not lift within the TS 3.4.10 lift setting tolerance.13. Root Cause
The cause of the as-found lift setting has been determined to be random
lift spread.
C. Contributory Cause
None.","['problem identification and resolution', 'work processes']","['environment for raising concerns', 'questioning attitude']"
South Texas,The cause of this event was the action taken to drain the expansion tank level back into the normal operating band to keep the level alarm clear caused an unknown amount of water to be drained from the system. This resulted in air binding in the system upon startup. The need to establish additional controls on draining this system was identified by this event.,"['problem identification and resolution', 'work processes']","['personal accountability', 'problem identification and resolution', 'work processes']"
South Texas,The root cause of this event was that the operational impact on COMS of de-energizing the 'A' and 'B' SSPS actuation cabinets for maintenance was not recognized. Detailed information regarding which equipment/components would be affected was not readily available in a usable format for review.,"['continuous learning', 'problem identification and resolution', 'work processes']","['decision making', 'personal accountability', 'work processes']"
South Texas,The root cause is the failure to incorporate requisite inspection activities for ECW piping into station programs.,"['problem identification and resolution', 'work processes']","['decision making', 'questioning attitude', 'work processes']"
South Texas,"The root cause of this event is the over-reliance on highly qualified and experienced individuals to
plan and schedule Electrical Bus Outages and the failure to develop and implement procedures to
provide guidance for these evolutions. The development of detailed guidance for these activities
has not been considered a station priority because the number and significance of events during
Electrical Bus Outages have been very low. In the past, Electrical Bus Outage activities have been
successfully performed using the knowledge, planning, and scheduling of the Work Window
Manager, Electrical (WWME). A contributing cause to the event is that the Senior Reactor
Operators (SROs) responsible to ensure TS compliance did not identify that removing E2C11 from
service would result in a Technical Specification 3.3.2 entry. The WWME's coworkers and peers
reviewed the Electrical Bus Outage plans provided by the WWME, however, they did not scrutinize
the details against the requirements of TS 3.3.2 or the Technical Requirements Manual.","['decision making', 'leadership safety values and actions', 'work processes']","['decision making', 'leadership safety values and actions', 'work processes']"
South Texas,The unexpected condition of the stuck half-coupling was not sufficiently assessed and the potential hazards to the affected components were not identified prior to proceeding to use force in removing the pump half-coupling.,"['problem identification and resolution', 'questioning attitude']","['problem identification and resolution', 'questioning attitude']"
South Texas,"The cause of Long Path Recirculation Isolation Valve 2-AF-0092 not fully closing on February 9, 2007 and the stem nut failing on March 6, 2007 is that no periodic preventive maintenance existed to lubricate the stem.","['problem identification and resolution', 'work processes']","['questioning attitude', 'work processes']"
South Texas,The root cause of the error was that both the fuel transfer form preparer and verifier performed inadequate self-checking and review. One contributing factor was a lack of robust guidelines for planning and verification of the SFP configuration and its compliance with Technical Specification requirements which contributed to the human performance error. Another contributing factor was determined to be the organization and format of the SFP configuration map used in planning fuel moves which only identified the highest fuel Category and did not identify any skipped Categories.,"['personal accountability', 'problem identification and resolution', 'work processes']","['decision making', 'personal accountability', 'work processes']"
South Texas,"The outage process did not have specific requirements for processing emergent work or evaluating the associated risk impact on plant conditions.
• Work planning guidance lacked sufficient rigor. Ownership for work package preparation and review was not clearly established. Mitigation strategies were not formalized to ensure that the technical content of the work package was correct. The technical expertise required for a work package review was not specified.
• Combining the surveillance procedure with the maintenance activity to replace the circuit card complicated the work coordination. The increased level of complexity in the work package instructions resulted in the SSPS being in service instead of being removed from service for the circuit card replacement.","['decision making', 'problem identification and resolution', 'work processes']","['decision making', 'work processes']"
South Texas,The root cause of the event was an inadequate calibration probedure. The procedure did not require a functionality check of the internal switch contacts after switch calibration restoration.,"['continuous learning', 'problem identification and resolution']","['problem identification and resolution', 'work processes']"
South Texas,"The event was caused by a modification that introduced reduced operating margin into the AMSAC design. The modification reduced the arming setpoint for turbine impulse pressure from 40% to 30%, and in doing so created a corresponding reduction in the operating margin. Consequently, a system intended to provide protection against abnormal deviations of reactor power and feedwater flow actuated under plant conditions that were normal for power ascension.",['decision making'],['decision making']
South Texas,"The root cause for this event is that management expectations for pre job preparation on tasks that are perceived as low risk are not well defined and have not been adequately reinforced to ensure consistent, successful task performance. This resulted in a condition where the workers were not adequately prepared to perform a task that adversely affected unit operation.","['leadership safety values and actions', 'work processes']","['effective safety communication', 'leadership safety values and actions', 'work processes']"
South Texas,"The cause of this event was due to failure to meet management expectations associated with work practices. The Shift and Unit Supervisors are ultimately responsible for maintaining the unit in compliance with Technical Specifications. In this event, neither the Shift nor the Unit Supervisor verified the equipment clearance order to ensure Technical Specification compliance due to overconfidence in the Work Start Authority's capability. The fact that the valve was already tagged to comply with Technical Specifications caused the Shift and Unit Supervisors to perceive this activity to be a low-risk evolution. In addition, the Shift and Unit Supervisors are responsible for ensuring the use of peer checks for Technical Specification compliance and no peer check for Equipment Clearance Order 9071 were performed. The Work Start Authority is a Senior Reactor Operator, knowledgeable of Technical Specification compliance requirements, responsible for the proper review and authorization of equipment clearance orders. The Equipment Clearance Writer is responsible for adequate preparation of equipment clearance orders to ensure proper protection of plant personnel and equipment.","['leadership safety values and actions', 'personal accountability', 'work processes']","['leadership safety values and actions', 'personal accountability', 'work processes']"
South Texas,"The root cause for this event was less than adequate work instructions in the work order used to change out the current transformers in 1992. When the current transformer was replaced in the circuit breaker, the nameplate on the circuit breaker was not updated to reflect the correct information.","['problem identification and resolution', 'work processes']","['problem identification and resolution', 'work processes']"
South Texas,"The root causes identified for this event are:
1. Perceived and actual time pressure imposed by electrical alarms and interlocks lead to a deviation from fundamental work practices. The perceived time pressure manifested itself as follows:
■ The Unit Supervisor used inappropriate communication techniques that contributed to an incorrect breaker manipulation.
■ The Unit Supervisor focused on transformer current indications, compromising his ability to provide effective oversight of the evolution. Consequently, the operator's failures to operate the synchronizing interlock switch and verify the resulting annunciator alarm were not identified or corrected.
■ The Reactor Operator did not: stop, alert others, or otherwise seek assistance upon encountering abnormal indications; verify the alarm received; or seek clarification of the Unit Supervisor's unclear verbal communications prior to acting.
2. Operation of synchronizing interlock switches were not included in plant procedures (OPOP02-AE-0002) since their operation was considered ""skill of the craft"". The omission of synchronizing interlock switches and lack of requirements to include them on 'Transferring 13.8 kV Bus Power Supply Checklist"" made OPOP02-AE-0002 less than optimum for the less practiced user.","['decision making', 'personal accountability', 'work processes']","['effective safety communication', 'leadership safety values and actions', 'personal accountability', 'problem identification and resolution']"
South Texas,The linkage mechanism that operates the breaker Y600 C phase pole failed due to a linkage connection pin falling out of the linkage. Inspection revealed that a bushing that is required between the linkage pin and the operating linkage was not installed. The bushing was most likely left out during fabrication. The lack of a bushing creates increased friction and tolerances leading to accelerated wear of the components.,"['problem identification and resolution', 'work processes']","['personal accountability', 'problem identification and resolution']"
South Texas,"The majority of the defective tubes detected in 2RE08 were the result of ODSCC at tube-to-tube support plate intersections. This tube degradation mechanism is well known to the industry (as documented in the EPRI Steam Generator Reference Book, Chapter 12) for plants employing drilled-hole tube support plates and Alloy 600 mill annealed tubes, and has been addressed in NRC Generic Letter 95-05. It is the result of tube susceptibility to stress corrosion cracking in the tube support plate crevice environment as confirmed by tube pulls at South Texas Units 1 and 2 as well as at other plants, and by the UT results from this inspection. This stress corrosion cracking has been demonstrated to be a temperature-related corrosion process such that the higher the hot leg temperature, the more rapid the corrosion progression. The 2RE08 inspection results are consistent with this understanding of the ODSCC at tube support plate corrosion phenomenon in that the lower hot leg tube support plate intersections contain the majority of the axial indications found. The root causes of ODSCC at tube-to-tube support plate intersections may be summarized as the selection of tube material (Alloy 600 mill annealed) and the design of the tube-to-tube support plate intersection locations (crevices resulting from drilled holes). A contributing factor is the high reactor coolant system hot leg temperature design values. The remaining defective tubes were plugged primarily due to OD-initiated degradation. The cause of other OD-initiated degradation (primarily axial with some volumetric) is attributed to the tube material selection, and lack of care in handling tubing during manufacturing processes. For the circumferential indications at the hot leg top of tubesheet region, tube material selection in combination with residual stresses left by the tube expansion process are the primary causes.","['problem identification and resolution', 'questioning attitude', 'work processes']","['decision making', 'problem identification and resolution', 'respectful work environment']"
South Texas,"1. Personnel did not recognize the laptop computer and Hart adapter as test equipment with the potential to introduce a ground path. The Hart adapter documentation was not obtained to verify vendor input that the adapter was not polarity sensitive. Prior testing was insufficient to detect the ground path.
2. The work control process did not provide adequate controls for working on reliability-significant equipment.","['problem identification and resolution', 'work processes']","['personal accountability', 'work processes']"
South Texas,The root cause of this incident was a lack of understanding of the Technical Specification requirements for GWPS operability.,"['continuous learning', 'problem identification and resolution']","['continuous learning', 'problem identification and resolution']"
South Texas,"The cause of the unexpected closure of 2C FWIV was a shorted surge suppression device in the Class-1E control circuit.
The suppression device contains four series parallel diodes and is actually a diode bridge. The diode bridge is used for surge suppression across the safety related trip solenoids. This short caused the fuse to blow in the control circuit, which de-energized the B-train safety solenoid. De-energizing the B-train solenoid dumps hydraulic fluid from the valve actuator allowing the FWIV to close.
The failed diode bridge was sent off site for a laboratory failure analysis to determine the cause of the failure. The report from the laboratory listed the cause for the diode failures as electrical overstress. The location of the melt sites on the two short circuited diodes indicate that one was most likely damaged by a reverse bias voltage transient and the other by a forward current transient. The cause for the electrical overstress cannot be determined. The control circuit was analyzed and found to be satisfactory. The diodes are rated at 10 amps and 600 volts, which is adequate for the circuit in which they are installed. The diodes are normally reverse biased at 125 volts direct current and the control circuit is fused at 3 amps. The root cause for the electrical overstress is unknown and considered to be a random failure. See Additional Information section for possible failure scenarios.","['problem identification and resolution', 'questioning attitude', 'work processes']","['problem identification and resolution', 'work processes']"
